B2 C1
B4 E1
C1 D2 E3
E1 D1 C2
B2 B3 A4
D1 C1 C2
B3 A3 A4
C1 D1 E2
D2 E2 E1
D1 D2 E3
E2 D3 C2
B4 B5 A4
D3 D4 C5
B5 B4 A4
D4 D3 C2
B4 B3 A2
D3 E2 E1
B3 B4 A5
E2 D3 C4
B4 B3 A2
D3 E2 E1
B3 C4 B5
A3 B4 C5
C4 B5 A5
B4 C4 C5
D2 D1 E1
C4 B4 A5
D1 D2 E3
B4 C4 C5
D2 D3 E3
C4 B4 A5
D3 D2 D1
B4 C4 D5
D2 C1 D1
C4 B3 A2
C1 D2 D1
B3 C4 D5
D2 C1 D1
C4 B3 A2
B5 C4 D3
B3 B4 B5
C4 D5 E4
E2 D3 D4
D5 C4 B5
B4 C3 B2
C4 D5 E4
D3 E4 E5
D5 D4 D3
C3 B2 B1
D4 D5 E5
E4 D3 D2
D5 C4 B3
D3 E4 D5
C4 D4 E5
E4 D3 D2
D4 C4 B3
D3 E4 D5
C4 D4 E5
E4 D3 D2
D4 C4 B3
B2 C3 B4
C4 D4 E4
C3 B2 B1
D4 C4 B3
B2 C3 B4
C4 D4 E4
C3 B2 B1
D4 C4 B4
B2 C3 B4
C1 B2 A3
D3 D2 D3
